,constant,error_sd,k,naive_rmse,rmse_at_k,run_num,sim_network,true_rmse,var1_coef,var1_sd
188,5.0,2.0,40,6.71282482419,4.51474153347,416,20_1000_ws_0-1,1.99820416839,3.0,1.0
189,5.0,2.0,50,6.71282482419,3.91821052622,416,20_1000_ws_0-1,1.99820416839,3.0,1.0
190,5.0,2.0,60,6.71282482419,3.21215239299,416,20_1000_ws_0-1,1.99820416839,3.0,1.0
191,5.0,2.0,70,6.71282482419,2.51661440961,416,20_1000_ws_0-1,1.99820416839,3.0,1.0
192,5.0,2.0,20,6.64705070315,6.13478262618,411,20_1000_ws_0-1,2.0119338877,3.0,1.0
193,5.0,2.0,30,6.64705070315,5.62899864375,411,20_1000_ws_0-1,2.0119338877,3.0,1.0
194,5.0,2.0,40,6.64705070315,4.34811695825,411,20_1000_ws_0-1,2.0119338877,3.0,1.0
195,5.0,2.0,50,6.64705070315,3.18676160631,411,20_1000_ws_0-1,2.0119338877,3.0,1.0
196,5.0,2.0,60,6.64705070315,2.90509867211,411,20_1000_ws_0-1,2.0119338877,3.0,1.0
197,5.0,2.0,70,6.64705070315,2.50168467183,411,20_1000_ws_0-1,2.0119338877,3.0,1.0
198,5.0,2.0,20,6.44949311683,6.35411408325,410,20_1000_ws_0-1,2.05156118956,3.0,1.0
199,5.0,2.0,30,6.44949311683,5.65386813794,410,20_1000_ws_0-1,2.05156118956,3.0,1.0
200,5.0,2.0,40,6.44949311683,4.02856636737,410,20_1000_ws_0-1,2.05156118956,3.0,1.0
201,5.0,2.0,50,6.44949311683,3.17209353444,410,20_1000_ws_0-1,2.05156118956,3.0,1.0
202,5.0,2.0,60,6.44949311683,2.81195739652,410,20_1000_ws_0-1,2.05156118956,3.0,1.0
203,5.0,2.0,70,6.44949311683,2.79637985461,410,20_1000_ws_0-1,2.05156118956,3.0,1.0
204,5.0,2.0,80,6.44949311683,2.47520044171,410,20_1000_ws_0-1,2.05156118956,3.0,1.0
205,5.0,2.0,20,6.61022712473,6.21838404963,413,20_1000_ws_0-1,1.97650793744,3.0,1.0
206,5.0,2.0,30,6.61022712473,5.15808493734,413,20_1000_ws_0-1,1.97650793744,3.0,1.0
207,5.0,2.0,40,6.61022712473,4.02317671347,413,20_1000_ws_0-1,1.97650793744,3.0,1.0
208,5.0,2.0,50,6.61022712473,3.12906967105,413,20_1000_ws_0-1,1.97650793744,3.0,1.0
209,5.0,2.0,60,6.61022712473,2.24010132893,413,20_1000_ws_0-1,1.97650793744,3.0,1.0
210,5.0,2.0,20,6.79273528638,5.97740468368,412,20_1000_ws_0-1,1.95012106843,3.0,1.0
211,5.0,2.0,30,6.79273528638,5.02645296994,412,20_1000_ws_0-1,1.95012106843,3.0,1.0
212,5.0,2.0,40,6.79273528638,4.47207362333,412,20_1000_ws_0-1,1.95012106843,3.0,1.0
213,5.0,2.0,50,6.79273528638,3.77082742155,412,20_1000_ws_0-1,1.95012106843,3.0,1.0
214,5.0,2.0,20,6.35797780471,6.35491175265,796,20_1000_ws_0-1,2.00070735825,3.0,1.0
215,5.0,2.0,30,6.35797780471,5.37951655203,796,20_1000_ws_0-1,2.00070735825,3.0,1.0
216,5.0,2.0,40,6.35797780471,4.2997975163,796,20_1000_ws_0-1,2.00070735825,3.0,1.0
217,5.0,2.0,50,6.35797780471,3.26516727154,796,20_1000_ws_0-1,2.00070735825,3.0,1.0
218,5.0,2.0,60,6.35797780471,3.19708920154,796,20_1000_ws_0-1,2.00070735825,3.0,1.0
219,5.0,2.0,70,6.35797780471,2.09654435214,796,20_1000_ws_0-1,2.00070735825,3.0,1.0
220,5.0,2.0,20,6.44718094862,5.88362074941,617,20_1000_ws_0-1,1.89031725707,3.0,1.0
221,5.0,2.0,30,6.44718094862,5.978691834,617,20_1000_ws_0-1,1.89031725707,3.0,1.0
222,5.0,2.0,40,6.44718094862,3.67073472149,617,20_1000_ws_0-1,1.89031725707,3.0,1.0
223,5.0,2.0,50,6.44718094862,3.10351750602,617,20_1000_ws_0-1,1.89031725707,3.0,1.0
224,5.0,2.0,60,6.44718094862,2.9004437192,617,20_1000_ws_0-1,1.89031725707,3.0,1.0
225,5.0,2.0,70,6.44718094862,2.28133306751,617,20_1000_ws_0-1,1.89031725707,3.0,1.0
226,5.0,2.0,80,6.44718094862,2.10529505682,617,20_1000_ws_0-1,1.89031725707,3.0,1.0
227,5.0,2.0,20,6.3271809326,6.25864928343,794,20_1000_ws_0-1,1.94459643503,3.0,1.0
228,5.0,2.0,30,6.3271809326,5.42312664163,794,20_1000_ws_0-1,1.94459643503,3.0,1.0
229,5.0,2.0,40,6.3271809326,4.62808501868,794,20_1000_ws_0-1,1.94459643503,3.0,1.0
